Date,Share price
2016.756164,788.97
2016.668493,742.98
2016.583562,730.87
2016.49863,668.43
2016.416438,693.14
2016.334247,657.72
2016.249315,761.46
2016.164384,683.55
2016.087671,675.29
2016.010959,718.27
2015.917808,831.25
2015.838356,845.6
2015.750685,763.49
2015.668493,771.05
2015.589041,850.5
2015.49863,888.3
2015.416438,911.96
2015.331507,882.7
2015.249315,873.74
2015.167123,904.75
2015.090411,826.35
2015.005479,779.73
2014.917808,831.67
2014.841096,757.54
2014.750685,704.13
2014.673973,721.42
2014.583562,664.3
2014.49863,654.64
2014.421918,633.96
2014.331507,592
2014.249315,537.76
2014.164384,523.42
2014.087671,502.61
2014.005479,555.68
2013.923288,558
2013.835616,524.02
2013.750685,478.45
2013.673973,493.1
2013.583562,455.75
2013.49863,402.69
2013.421918,450.73
2013.331507,444.46
2013.249315,441.9
2013.164384,438
2013.087671,459.11
2013.005479,553.82
2012.923288,593.65
2012.835616,598.22
2012.750685,671.16
2012.665753,665.76
2012.583562,615.90 	
2012.49863,584.73
2012.413699,569.16 
2012.331507,584.90 
2012.246575,601.83 
2012.164384,548.17 
2012.087671,458.41 
2012.00274,409.40 
2011.917808,382.54 
2011.832877,397.41 
2011.753425,380.37
2011.665753,385.82
2011.580822,397.78
2011.49589,335.95
2011.413698,348.87
2011.331507,349.74
2011.246575,351.11
2011.161644,355.47
2011.084932,341.3
2011.005479,325.64
2010.915068,315.27
2010.832877,302.22
2010.747945,286.15
2010.665298,283.75
2010.583162,243.1
2010.495551,257.25
2010.413415,251.53
2010.334018,256.88
2010.246407,261.09
2010.161533,235
2010.084873,204.62
2010.008214,192.06
2009.915127,210.73
2009.835729,199.91
2009.748118,188.5
2009.665982,185.35
2009.586585,168.21
2009.496235,163.39
2009.4141,142.43
2009.329227,135.81
2009.247091,125.83
2009.164956,105.12
2009.088296,89.31
2009.003422,90.13
2008.915811,85.35
2008.839151,92.67
2008.748802,107.59
2008.669405,113.66
2008.581793,169.53
