Date,Share price
2016.756164,158.06
2016.668493,158.32
2016.583562,160.65
2016.49863,152.19
2016.416438,153
2016.334247,146.56
2016.249315,150.51
2016.164384,132.24
2016.087671,124.4
2016.010959,135.6
2015.917808,139.58
2015.838356,140.5
2015.750685,145.31
2015.668493,144.91
2015.589041,161.7
2015.49863,163.97
2015.416438,170.21
2015.331507,173.2
2015.249315,160.23
2015.167123,161.94
2015.090411,154
2015.005479,161.31
2014.917808,161.64
2014.841096,164.25
2014.750685,189.91
2014.673973,192.39
2014.583562,190.5
2014.49863,181.7
2014.421918,184.76
2014.331507,196.31
2014.249315,193.12
2014.164384,183.33
2014.087671,176.02
2014.005479,187.21
2013.923288,179.46
2013.835616,179.81
2013.750685,185.34
2013.673973,183.63
2013.583562,196.65
2013.49863,192.15
2013.421918,208.25
2013.331507,201.87
2013.249315,212.8
2013.164384,200.65
2013.087671,204.65
2013.005479,194.09
2012.923288,190.76
2012.835616,194.68
2012.750685,208.01
2012.665753,196.61
2012.583562,196.96
2012.49863,196.36
2012.413699,190.12
2012.331507,207.18
2012.246575,208.96
2012.164384,197.23
2012.087671,193.21
2012.00274,186.73
2011.917808,187.01
2011.832877,181.55
2011.753425,174.36
2011.665753,172.71
2011.580822,182.6
2011.49589,171.61
2011.413698,168.9
2011.331507,172.11
2011.246575,163.7
2011.161644,163.15
2011.084932,162.11
2011.005479,147.21
2010.915068,143.61
2010.832877,143.64
2010.747945,135.51
2010.665298,134.14
2010.583162,123.13
2010.495551,127.77
2010.413415,122.87
2010.334018,124.64
2010.246407,127.71
2010.161533,126.97
2010.084873,125.89
2010.008214,120.63
2009.915127,129.01
2009.835729,124.53
2009.748118,118.34
2009.665982,117.36
2009.586585,115.83
2009.496235,115.17
2009.4141,101.98
2009.329227,103.8
2009.247091,100.27
2009.164956,94.13
2009.088296,89.41
2009.003422,88.56
2008.915811,81.32
2008.839151,78.85
2008.748802,89.34
2008.669405,112.39
2008.581793,116.97
2008.49692,122.5
2008.417522,113.46
2008.329911,123.89
2008.247775,115.06
2008.168378,109.76
2008.083504,108.54
2008.001369,101.72
2007.919233,102.66
2007.831622,99.89
2007.746749,109.89
2007.672827,111.48
2007.57974,110.43
2007.497604,104.34
2007.412731,99.25
2007.327858,100.52
2007.24846,96.01
2007.160849,88.54
2007.084189,87.3
2007.004791,92.85
2006.914442,90.98
2006.832307,86.08
2006.750171,86.19
2006.665298,76.49
2006.580424,75.58
2006.501027,71.97
2006.413415,71.42
2006.328542,74.29
2006.251882,76.28
2006.161533,76.4
2006.084873,74.34
2006.005476,75.13
2005.915127,75.96
2005.832991,82.15
2005.753593,75.48
2005.665982,73.95
2005.581109,74.32
2005.496235,76.76
2005.4141,68.24
2005.331964,69.48
2005.247091,70.06
2005.162218,83.82
2005.085558,84.92
2005.00616,85.52
2004.915811,90.25
2004.833676,86.28
2004.748802,82.01
2004.666667,78.34
2004.584531,77.38
2004.49692,79.39
2004.414784,80.37
2004.335387,80.78
2004.247775,80.23
2004.162902,83.57
2004.086242,87.81
2004.001369,90.15
2003.913758,84.2
2003.837098,82.25
2003.746749,81.14
2003.667351,80.1
2003.57974,74.37
2003.494867,73.53
2003.415469,74.66
2003.327858,79.68
2003.245722,76.7
2003.166324,70.85
2003.089665,70.42
2003.002053,70.51
2002.91718,69.87
2002.832307,78.37
2002.747433,71.04
2002.670773,52.48
2002.580424,67.84
2002.495551,63.22
2002.418891,64.65
2002.328542,72.24
2002.246407,75.07
2002.161533,93.2
2002.084873,87.94
2002.002738,96.56
2001.920602,108.26
2001.832991,103.46
2001.748118,96.61
2001.674196,81.99
2001.581109,89.35
2001.498973,93.93
2001.4141,101.33
2001.329227,99.81
2001.249829,102.67
2001.162218,85.76
2001.085558,89.08
2001.003422,99.75
2000.915811,75.7
2000.833676,83.28
2000.75154,87.62
2000.666667,100.18
2000.581793,117.43
2000.502396,99.74
2000.414784,97.35
2000.329911,95.35
2000.253251,98.95
2000.162902,105.05
2000.083504,91.19
2000.004107,99.51
1999.913758,95.63
1999.831622,91.36
1999.746749,86.98
1999.664613,107.13
1999.582478,110.28
1999.494867,111.17
1999.412731,114.32
1999.333333,102.6
1999.245722,92.41
1999.160849,78.3
1999.084189,74.98
1999.007529,80.84
1998.914442,81.34
1998.835044,72.85
1998.747433,65.41
1998.665298,56.6
1998.5859,49.61
1998.495551,58.27
1998.413415,50.49
1998.328542,51.67
1998.246407,50.86
1998.164271,45.59
1998.087611,45.84
1998.002738,43.26
1997.915127,45.83
1997.838467,47.97
1997.748118,43.06
1997.66872,46.34
1997.581109,44.32
1997.496235,46.15
1997.416838,39.38
1997.329227,37.75
1997.247091,35.02
1997.167693,29.95
1997.091034,31.36
1997.003422,34.15
1996.918549,32.98
1996.833676,34.69
1996.748802,28
1996.672142,27.03
1996.581793,24.83
1996.49692,23.26
1996.42026,21.42
1996.329911,23.1
1996.247775,23.24
1996.162902,23.99
1996.083504,26.45
1996.001369,23.35
1995.913758,19.66
1995.831622,20.79
1995.749487,20.88
1995.664613,20.29
1995.57974,22.19
1995.500342,23.32
1995.412731,20.56
1995.327858,19.92
