Date,Share price
2016.756164,57.4
2016.668493,57.01
2016.583562,56.6
2016.49863,51.13
2016.416438,52.44
2016.334247,50
2016.249315,55.05
2016.164384,50.97
2016.087671,54.88
2016.010959,54.32
2015.917808,54.41
2015.838356,52.85
2015.750685,44.75
2015.668493,42.17
2015.589041,46.98
2015.49863,44.46
2015.416438,47.06
2015.331507,48.58
2015.249315,40.6
2015.167123,43.67
2015.090411,40.59
2015.005479,46.66
2014.917808,47.88
2014.841096,46.89
2014.750685,46.27
2014.673973,45.43
2014.583562,43.21
2014.49863,41.86
2014.421918,40.95
2014.331507,40.24
2014.249315,41.15
2014.164384,37.92
2014.087671,37.74
2014.005479,37.35
2013.923288,38.09
2013.835616,35.67
2013.750685,33.35
2013.673973,31.75
2013.583562,32.06
2013.49863,34.75
2013.421918,34.92
2013.331507,32.93
2013.249315,28.64
2013.164384,27.72
2013.087671,27.67
2013.005479,27.25
2012.923288,26.78
2012.835616,28.84
2012.750685,29.81
2012.665753,30.45
2012.583562,29.59
2012.49863,30.62
2012.413699,28.76
2012.331507,32.05
2012.246575,32.22
2012.164384,31.93
2012.087671,29.79
2012.00274,26.55
2011.917808,25.56
2011.832877,26.19
2011.753425,24.72
2011.665753,26.46
2011.580822,27.51
2011.49589,25.93
2011.413698,24.99
2011.331507,25.94
2011.246575,25.53
2011.161644,26.6
2011.084932,27.8
2011.005479,28.05
2010.915068,25.57
2010.832877,26.88
2010.747945,24.77
2010.665298,24.49
2010.583162,23.47
2010.495551,25.67
2010.413415,22.89
2010.334018,25.66
2010.246407,30.24
2010.161533,29
2010.084873,28.39
2010.008214,27.77
2009.915127,30.04
2009.835729,28.99
2009.748118,27.21
2009.665982,25.24
2009.586585,24.19
2009.496235,22.95
2009.4141,23.19
2009.329227,20.38
2009.247091,19.64
2009.164956,17.81
2009.088296,15.66
2009.003422,16.47
2008.915811,18.72
2008.839151,19.47
2008.748802,21.36
2008.669405,25.53
2008.581793,26.1
2008.49692,24.5
2008.417522,26.21
2008.329911,26.98
2008.247775,27.07
2008.168378,26.94
2008.083504,25.82
2008.001369,30.83
2007.919233,33.66
