javac -classpath .:../lu-decomposition TankExample2.java
java -classpath .:../lu-decomposition TankExample2
Capacitor (tank): time=0.000000   v_1=9.000000 v_2=0.600000  
Capacitor (tank): time=0.000010   v_1=9.153153 v_2=0.768685  
Capacitor (tank): time=0.000020   v_1=9.168350 v_2=0.935694  
Capacitor (tank): time=0.000030   v_1=9.183396 v_2=1.099681  
Capacitor (tank): time=0.000040   v_1=9.198169 v_2=1.260702  
Capacitor (tank): time=0.000050   v_1=9.212676 v_2=1.418809  
Capacitor (tank): time=0.000060   v_1=9.226920 v_2=1.574055  
Capacitor (tank): time=0.000070   v_1=9.240906 v_2=1.726493  
Capacitor (tank): time=0.000080   v_1=9.254639 v_2=1.876174  
Capacitor (tank): time=0.000090   v_1=9.268124 v_2=2.023146  
Capacitor (tank): time=0.000100   v_1=9.281364 v_2=2.167459  
Capacitor (tank): time=0.000110   v_1=9.294366 v_2=2.309162  
Capacitor (tank): time=0.000120   v_1=9.307132 v_2=2.448301  
Capacitor (tank): time=0.000130   v_1=9.319667 v_2=2.584922  
Capacitor (tank): time=0.000140   v_1=9.331975 v_2=2.719072  
Capacitor (tank): time=0.000150   v_1=9.344061 v_2=2.850795  
Capacitor (tank): time=0.000160   v_1=9.355927 v_2=2.980135  
Capacitor (tank): time=0.000170   v_1=9.367580 v_2=3.107135  
Capacitor (tank): time=0.000180   v_1=9.379021 v_2=3.231837  
Capacitor (tank): time=0.000190   v_1=9.390256 v_2=3.354284  
Capacitor (tank): time=0.000200   v_1=9.401287 v_2=3.474515  
Capacitor (tank): time=0.000210   v_1=9.412118 v_2=3.592571  
Capacitor (tank): time=0.000220   v_1=9.422754 v_2=3.708491  
Capacitor (tank): time=0.000230   v_1=9.433197 v_2=3.822313  
Capacitor (tank): time=0.000240   v_1=9.443452 v_2=3.934077  
Capacitor (tank): time=0.000250   v_1=9.453520 v_2=4.043819  
Capacitor (tank): time=0.000260   v_1=9.463407 v_2=4.151575  
Capacitor (tank): time=0.000270   v_1=9.473115 v_2=4.257382  
Capacitor (tank): time=0.000280   v_1=9.482647 v_2=4.361275  
Capacitor (tank): time=0.000290   v_1=9.492007 v_2=4.463288  
Capacitor (tank): time=0.000300   v_1=9.501197 v_2=4.563455  
Capacitor (tank): time=0.000310   v_1=9.510221 v_2=4.661810  
Capacitor (tank): time=0.000320   v_1=9.519082 v_2=4.758386  
Capacitor (tank): time=0.000330   v_1=9.527783 v_2=4.853215  
Capacitor (tank): time=0.000340   v_1=9.536326 v_2=4.946328  
Capacitor (tank): time=0.000350   v_1=9.544714 v_2=5.037757  
Capacitor (tank): time=0.000360   v_1=9.552951 v_2=5.127531  
Capacitor (tank): time=0.000370   v_1=9.561039 v_2=5.215682  
Capacitor (tank): time=0.000380   v_1=9.568980 v_2=5.302237  
Capacitor (tank): time=0.000390   v_1=9.576778 v_2=5.387227  
Capacitor (tank): time=0.000400   v_1=9.584435 v_2=5.470679  
Capacitor (tank): time=0.000410   v_1=9.591953 v_2=5.552621  
Capacitor (tank): time=0.000420   v_1=9.599335 v_2=5.633081  
Capacitor (tank): time=0.000430   v_1=9.606584 v_2=5.712085  
Capacitor (tank): time=0.000440   v_1=9.613701 v_2=5.789660  
Capacitor (tank): time=0.000450   v_1=9.620690 v_2=5.865831  
Capacitor (tank): time=0.000460   v_1=9.627552 v_2=5.940625  
Capacitor (tank): time=0.000470   v_1=9.634290 v_2=6.014065  
Capacitor (tank): time=0.000480   v_1=9.640907 v_2=6.086176  
Capacitor (tank): time=0.000490   v_1=9.647403 v_2=6.156983  
Capacitor (tank): time=0.000500   v_1=9.653782 v_2=6.226509  
Capacitor (tank): time=0.000510   v_1=9.660046 v_2=6.294777  
Capacitor (tank): time=0.000520   v_1=9.666196 v_2=6.361810  
Capacitor (tank): time=0.000530   v_1=9.672235 v_2=6.427631  
Capacitor (tank): time=0.000540   v_1=9.678165 v_2=6.492260  
Capacitor (tank): time=0.000550   v_1=9.683987 v_2=6.555721  
Capacitor (tank): time=0.000560   v_1=9.689705 v_2=6.618033  
Capacitor (tank): time=0.000570   v_1=9.695318 v_2=6.679218  
Capacitor (tank): time=0.000580   v_1=9.700830 v_2=6.739296  
Capacitor (tank): time=0.000590   v_1=9.706243 v_2=6.798287  
Capacitor (tank): time=0.000600   v_1=9.711557 v_2=6.856211  
Capacitor (tank): time=0.000610   v_1=9.716776 v_2=6.913087  
Capacitor (tank): time=0.000620   v_1=9.721900 v_2=6.968933  
Capacitor (tank): time=0.000630   v_1=9.726931 v_2=7.023770  
